,url,ref_no,pet_name,gender,status,description,address,address_clean,latitude,longitude,color
0,https://www.pawboost.com/landing/pet/qpko2mdlJohEUvb_XQxixOACMHcpTnp-/lost-juliette-oakland-ca-94610,5493951,Juliette,Female,LOST,Petite black female cat. Very affectionate. Attentive and vocal. Could be in a shed or bat. ,"Near Burk St & Euclid Ave Oakland, CA 94610","Near+Burk+St+and+Euclid+Ave+Oakland,+CA+94610",37.8091297,-122.2516412,black
1,https://www.pawboost.com/landing/pet/Ez21xfLD1CK9tQ_tR5G_C7IABkt4A-3b/lost-tom-oakland-ca-94606,5451799,Tom,Male,LOST,Grey domestic cat with grey eyes. Super friendly. Has a chubby neck. Has black spots all over. One thick black stripe down his back. Please help us get him back home. ,"Near E 20th St & 5th Ave Oakland, CA 94606","Near+E+20th+St+and+5th+Ave+Oakland,+CA+94606",37.7997012,-122.2482853,gray
2,https://www.pawboost.com/landing/pet/5ZanwqHyXCq_UJ0auwhsGhrEMuEMqKZ2/lost-bluashley-oakland-ca-94609,5492462,Blu Ashley,Female,LOST,"Fluffy grey maincoon. Green eyes,  Blue/green collar.","Hoover-Foster Oakland, CA 94609","Hoover-Foster+Oakland,+CA+94609",37.8207406,-122.272478,gray
3,https://www.pawboost.com/landing/pet/yN7BzhbxsJ2LgUj2b_9B83aUGuFOLIsx/lost-macaroni-oakland-ca-94607,5461933,Macaroni,Male,LOST,Large tall orange tabby,"Prescott Oakland, CA 94607","Prescott+Oakland,+CA+94607",37.812174,-122.2965778,orange
4,https://www.pawboost.com/landing/pet/oP9EWgMv0bkMT_JokNLRZfN_bLK-IXco/lost-mickey-alameda-ca-94501,5461739,Mickey,Female,LOST,Grey/Blue short hair ,"Around Ralphs Alameda, CA 94501","Around+Ralphs+Alameda,+CA+94501",37.7753559,-122.2724372,gray
5,https://www.pawboost.com/landing/pet/5K0IWzh00HVGN63P5cT2uu0VAZc41kBl/lost-robin-alameda-ca-94501,5483685,Robin,Female,LOST,"Taken from front porch !
long haired black cat","Middle Alameda Alameda, CA 94501","Middle+Alameda+Alameda,+CA+94501",37.7526273,-122.2311322,oher
6,https://www.pawboost.com/landing/pet/iaW_M_2P-2orRiESUIQY9QrcydipBWyi/lost-tanya-alameda-ca-94501,5496170,Tanya,Female,LOST,"Black cat, she is about ten pounds but thick looking and has a small tear on one of her ears","Middle Alameda Alameda, CA 94501","Middle+Alameda+Alameda,+CA+94501",37.7526273,-122.2311322,black
7,https://www.pawboost.com/landing/pet/EOdBmNvCl3kwkmJTuq0fMEUXwS57zEF4/lost-pompey-oakland-ca-94606,5467708,Pompey,Male,LOST,"Pure black, short hair, green eyes, approximately 11 pounds, 8 years old ","Near E 27th St & 19th Ave Oakland, CA 94606","Near+E+27th+St+and+19th+Ave+Oakland,+CA+94606",37.7959854,-122.231919,black
8,https://www.pawboost.com/landing/pet/OPvZQNBUkkMaCdCZFS_Er-bHRvZi1fKD/lost-chloe-alameda-ca-94501,5445610,Chloe,Female,LOST,NEIGHBORHOOD LAST SEEN,"Central Alameda Alameda, CA 94501","Central+Alameda+Alameda,+CA+94501",37.7703612,-122.2569641,other
9,https://www.pawboost.com/landing/pet/vGvUk8IAyQwPCLif6WWZwEY_9jaCrNtx/lost-toru-oakland-ca-94601,5431882,Toru,Male,LOST,"A gray tabby with yellow green eyes. He is very shy and loves to hide in all sorts of places. He may be under your cars, in parking lots, or back/side yards. He was last seen wondering around near Foothill and 27th Ave. Please be out on the lookout!","Oak Tree Oakland, CA 94601","Oak+Tree+Oakland,+CA+94601",37.7820991,-122.2292263,gray
